episode,goal_angle,repetition,success,cumulative_reward,episode_length,final_absolute_error,terminated,truncated
1,-0.8,1,1,10.961899765580892,23,0.005844094584800952,1,0
2,-0.8,2,1,10.961899765580892,23,0.005844094584800952,1,0
3,-0.8,3,1,10.961899765580892,23,0.005844094584800952,1,0
4,-0.8,4,1,10.961899765580892,23,0.005844094584800952,1,0
5,-0.8,5,1,10.961899765580892,23,0.005844094584800952,1,0
6,-0.4,1,1,15.646469762129708,18,0.0005402657849447601,1,0
7,-0.4,2,1,15.646469762129708,18,0.0005402657849447601,1,0
8,-0.4,3,1,15.646469762129708,18,0.0005402657849447601,1,0
9,-0.4,4,1,15.646469762129708,18,0.0005402657849447601,1,0
10,-0.4,5,1,15.646469762129708,18,0.0005402657849447601,1,0
11,0.4,1,1,15.48714129361324,18,0.004165697454794004,1,0
12,0.4,2,1,15.48714129361324,18,0.004165697454794004,1,0
13,0.4,3,1,15.48714129361324,18,0.004165697454794004,1,0
14,0.4,4,1,15.48714129361324,18,0.004165697454794004,1,0
15,0.4,5,1,15.48714129361324,18,0.004165697454794004,1,0
16,0.8,1,1,10.758893848396838,25,0.005313188173740935,1,0
17,0.8,2,1,10.758893848396838,25,0.005313188173740935,1,0
18,0.8,3,1,10.758893848396838,25,0.005313188173740935,1,0
19,0.8,4,1,10.758893848396838,25,0.005313188173740935,1,0
20,0.8,5,1,10.758893848396838,25,0.005313188173740935,1,0
