episode,goal_angle,repetition,success,cumulative_reward,episode_length,final_absolute_error,terminated,truncated
1,-0.8,1,1,10.9944956619991,22,0.0005673714840916944,1,0
2,-0.8,2,1,10.9944956619991,22,0.0005673714840916944,1,0
3,-0.8,3,1,10.9944956619991,22,0.0005673714840916944,1,0
4,-0.8,4,1,10.9944956619991,22,0.0005673714840916944,1,0
5,-0.8,5,1,10.9944956619991,22,0.0005673714840916944,1,0
6,-0.4,1,1,15.331807381263934,16,0.016589778480266215,1,0
7,-0.4,2,1,15.331807381263934,16,0.016589778480266215,1,0
8,-0.4,3,1,15.331807381263934,16,0.016589778480266215,1,0
9,-0.4,4,1,15.331807381263934,16,0.016589778480266215,1,0
10,-0.4,5,1,15.331807381263934,16,0.016589778480266215,1,0
11,0.4,1,1,15.415778187560498,17,0.0016433825739493035,1,0
12,0.4,2,1,15.415778187560498,17,0.0016433825739493035,1,0
13,0.4,3,1,15.415778187560498,17,0.0016433825739493035,1,0
14,0.4,4,1,15.415778187560498,17,0.0016433825739493035,1,0
15,0.4,5,1,15.415778187560498,17,0.0016433825739493035,1,0
16,0.8,1,1,10.914367115544156,22,0.003705543803262379,1,0
17,0.8,2,1,10.914367115544156,22,0.003705543803262379,1,0
18,0.8,3,1,10.914367115544156,22,0.003705543803262379,1,0
19,0.8,4,1,10.914367115544156,22,0.003705543803262379,1,0
20,0.8,5,1,10.914367115544156,22,0.003705543803262379,1,0
