episode,goal_angle,repetition,success,cumulative_reward,episode_length,final_absolute_error
1,-0.8,1,1,10.521527701057494,27,0.012328092101017596
2,-0.8,2,1,10.521527701057494,27,0.012328092101017596
3,-0.8,3,1,10.521527701057494,27,0.012328092101017596
4,-0.8,4,1,10.521527701057494,27,0.012328092101017596
5,-0.8,5,1,10.521527701057494,27,0.012328092101017596
6,-0.4,1,1,15.21405668091029,21,0.013217009087764853
7,-0.4,2,1,15.21405668091029,21,0.013217009087764853
8,-0.4,3,1,15.21405668091029,21,0.013217009087764853
9,-0.4,4,1,15.21405668091029,21,0.013217009087764853
10,-0.4,5,1,15.21405668091029,21,0.013217009087764853
11,0.4,1,1,15.211074960418046,21,0.012719840750495037
12,0.4,2,1,15.211074960418046,21,0.012719840750495037
13,0.4,3,1,15.211074960418046,21,0.012719840750495037
14,0.4,4,1,15.211074960418046,21,0.012719840750495037
15,0.4,5,1,15.211074960418046,21,0.012719840750495037
16,0.8,1,1,10.519856926985085,27,0.0105712357298271
17,0.8,2,1,10.519856926985085,27,0.0105712357298271
18,0.8,3,1,10.519856926985085,27,0.0105712357298271
19,0.8,4,1,10.519856926985085,27,0.0105712357298271
20,0.8,5,1,10.519856926985085,27,0.0105712357298271
